"SUID","cooc_method","interaction","interactionType","Label","method_number","method_scores","methodname_interactiontype","methodname_pval","methodname_score","name","nulldistribmean","nulldistribmedian","nulldistribsd","oriScore","pval","pval-brown-merge","qval","randdistribMean","randdistribMedian","randdistribNumNonNaNScores","randdistribSD","selected","shared interaction","shared name","weight"
"2180","dist_kullbackleibler",,"copresence","OTU-EUK644->otu110","1","0.85174437","dist_kullbackleibler=copresence","dist_kullbackleibler=4.464084657485046E-11","dist_kullbackleibler=0.85174437","OTU-EUK644->otu110","5.4180141584200046","5.35879634","2.3502127576720775","0.85174437","2.2318459302894667E-9","2.2318459302894667E-9","1.6258659443684478E-8","0.8770785458752509","0.771059165","988.0","0.49045087424784356","false",,"OTU-EUK644->otu110","1.6258659443684478E-8"
"2181","dist_kullbackleibler|correl_pearson",,"copresence","otu1691->OTU-EUK267","2","0.79835226|0.93148963","dist_kullbackleibler=copresence|correl_pearson=copresence","dist_kullbackleibler=0.0|correl_pearson=0.05149566064849198","dist_kullbackleibler=0.79835226|correl_pearson=0.93148963","otu1691->OTU-EUK267","9.89124372344001","10.680912395","4.570527811610409","0.79835226","0.0","0.0","0.0","0.8684213442222232|0.8140418094603168","0.75973034|0.9298289500000001","260.0|260.0","0.5807911581483682|0.2571219424998358","false",,"otu1691->OTU-EUK267","0.0"
"2182","dist_bray|dist_kullbackleibler|correl_spearman",,"copresence","otu375->OTU-EUK201","3","0.21855681|0.3728012|0.97241379","dist_bray=copresence|dist_kullbackleibler=copresence|correl_spearman=copresence","dist_bray=0.03912670002606833|dist_kullbackleibler=0.0|correl_spearman=6.098905129986454E-5","dist_bray=0.21855681|dist_kullbackleibler=0.3728012|correl_spearman=0.97241379","otu375->OTU-EUK201","0.7408380930299996","0.776409765","0.18421686305699095","0.21855681","0.0","0.0","0.0","0.21785874353677637|0.3800653157120501|0.9501035987480454","0.21049726|0.34784949|0.96078431","278.0|278.0|278.0","0.08820517597976515|0.24466094108564418|0.06164521912764491","false",,"otu375->OTU-EUK201","0.0"
"2183","dist_bray",,"mutualExclusion","otu944->OTU-EUK306","1","0.99955965","dist_bray=mutualExclusion","dist_bray=0.0","dist_bray=0.99955965","otu944->OTU-EUK306","","","","0.99955965","0.0","0.0","0.0","-100.0","-100.0","-424.0","-100.0","false",,"otu944->OTU-EUK306","0.0"
"2184","dist_kullbackleibler",,"mutualExclusion","OTU-EUK267->otu39","1","23.00703512","dist_kullbackleibler=mutualExclusion","dist_kullbackleibler=5.855203497229233E-5","dist_kullbackleibler=23.00703512","OTU-EUK267->otu39","10.338962440680005","10.32446685","4.546596138612013","23.00703512","0.005900371957248685","0.005900371957248685","0.02167557179893924","18.88672912022156","19.47088549","986.0","4.92388391304194","false",,"OTU-EUK267->otu39","0.02167557179893924"
"2185","correl_spearman|dist_kullbackleibler|correl_pearson|dist_bray",,"copresence","otu1103->OTU-EUK267","4","0.90138199|0.22732473|0.98514691|0.16126388","correl_spearman=copresence|dist_kullbackleibler=copresence|correl_pearson=copresence|dist_bray=copresence","correl_spearman=3.95753683228639E-4|dist_kullbackleibler=0.0|correl_pearson=1.9282385688157433E-9|dist_bray=0.0024056881989268364","correl_spearman=0.90138199|dist_kullbackleibler=0.22732473|correl_pearson=0.98514691|dist_bray=0.16126388","otu1103->OTU-EUK267","0.004915450279999998","0.00648476","0.3366231044899173","0.90138199","0.0","0.0","0.0","0.9266150530158737|0.22788211477777812|0.9791314890158735|0.1380220355238094","0.94280904|0.198630265|0.9860333349999999|0.137356975","260.0|260.0|260.0|260.0","0.07543974199232584|0.16943193236869403|0.027763989314281617|0.056964137117696254","false",,"otu1103->OTU-EUK267","0.0"
"2186","correl_spearman|dist_kullbackleibler",,"copresence","otu3705->OTU-EUK277","2","0.95862069|0.49774397","correl_spearman=copresence|dist_kullbackleibler=copresence","correl_spearman=0.0013111791335267964|dist_kullbackleibler=0.0","correl_spearman=0.95862069|dist_kullbackleibler=0.49774397","otu3705->OTU-EUK277","-0.005903447860000003","-0.00689655","0.34181659632601474","0.95862069","0.0","0.0","0.0","0.9311500228304818|0.4359186595489895","0.96078431|0.48573731","286.0|286.0","0.09698995553710829|0.26805080922258895","false",,"otu3705->OTU-EUK277","0.0"
"2188","dist_bray",,"mutualExclusion","otu491->OTU-EUK306","1","0.99955965","dist_bray=mutualExclusion","dist_bray=0.0","dist_bray=0.99955965","otu491->OTU-EUK306","","","","0.99955965","0.0","0.0","0.0","-100.0","-100.0","-424.0","-100.0","false",,"otu491->OTU-EUK306","0.0"
"2191","correl_pearson|dist_bray|dist_kullbackleibler",,"copresence","otu128->OTU-EUK249","3","0.97281045|0.14222234|0.68588838","correl_pearson=copresence|dist_bray=copresence|dist_kullbackleibler=copresence","correl_pearson=0.020049166926443707|dist_bray=0.04997189523496148|dist_kullbackleibler=0.0","correl_pearson=0.97281045|dist_bray=0.14222234|dist_kullbackleibler=0.68588838","otu128->OTU-EUK249","-0.00540045492000001","-0.15670957","0.33100958020973337","0.97281045","0.0","0.0","0.0","0.9200923932394364|0.17538116611893598|0.7358560435367751","0.97437|0.13575864|0.53387496","278.0|278.0|278.0","0.20327340869417557|0.13318453031113167|0.6876431801549903","false",,"otu128->OTU-EUK249","0.0"
"2192","dist_kullbackleibler",,"mutualExclusion","OTU-EUK503->otu45","1","22.18745858","dist_kullbackleibler=mutualExclusion","dist_kullbackleibler=1.115931287023475E-4","dist_kullbackleibler=22.18745858","OTU-EUK503->otu45","","","","22.18745858","0.010523090269725865","0.010523090269725865","0.037356038110485795","-100.0","-100.0","-54.0","-100.0","false",,"OTU-EUK503->otu45","0.037356038110485795"
"2193","correl_spearman",,"mutualExclusion","otu2933->OTU-EUK457","1","-0.90050042","correl_spearman=mutualExclusion","correl_spearman=5.174146666675483E-9","correl_spearman=-0.90050042","otu2933->OTU-EUK457","","","","-0.90050042","4.406152418479081E-7","4.406152418479081E-7","2.624477307736301E-6","-100.0","-100.0","-32.0","-100.0","false",,"otu2933->OTU-EUK457","2.624477307736301E-6"
"2195","correl_spearman|dist_kullbackleibler",,"copresence","OTU-EUK889->otu113","2","0.90138199|0.8760059","correl_spearman=copresence|dist_kullbackleibler=copresence","correl_spearman=0.0019330121928415878|dist_kullbackleibler=0.0","correl_spearman=0.90138199|dist_kullbackleibler=0.8760059","OTU-EUK889->otu113","0.01573203393000001","0.01296952","0.330281661797174","0.90138199","0.0","0.0","0.0","0.8784838093270732|0.7375355872926447","0.90138199|0.75142872","278.0|278.0","0.08918858215035014|0.2222940731758578","false",,"OTU-EUK889->otu113","0.0"
"2197","dist_kullbackleibler",,"copresence","OTU-EUK474->otu241","1","0.88879349","dist_kullbackleibler=copresence","dist_kullbackleibler=2.788880237858393E-13","dist_kullbackleibler=0.88879349","OTU-EUK474->otu241","6.626489787009987","6.4258866349999995","2.792062281332862","0.88879349","6.638245508838736E-12","6.638245508838736E-12","5.277229564566244E-11","0.9244375536621197","0.81666608","906.0","0.6253771305694146","false",,"OTU-EUK474->otu241","5.277229564566244E-11"
"2198","dist_kullbackleibler",,"copresence","OTU-EUK356->otu357","1","0.92766608","dist_kullbackleibler=copresence","dist_kullbackleibler=1.1020060164401713E-6","dist_kullbackleibler=0.92766608","OTU-EUK356->otu357","3.140465723500005","3.047433425","1.2628608148709353","0.92766608","1.267318178943544E-4","1.267318178943544E-4","5.8230751188461E-4","0.8669061971599988","0.87287775","1000.0","0.23067507724970876","false",,"OTU-EUK356->otu357","5.8230751188461E-4"
